Org,PlayerName,name_norm,best_candidate_norm,best_score,second_score,accepted
ARI,Edgar Isea,edgar isea,,60.86956521739131,57.14285714285714,False
NYY,Luis Velasquez,luis velasquez,,75.86206896551724,66.66666666666667,False
NYM,Anthony Nunez,tony nunez,,80.0,66.66666666666667,False
DET,Yosber Sanchez,yosber sanchez,,60.0,56.00000000000001,False
SEA,Gabriel Sosa,gabriel sosa,,71.42857142857143,71.42857142857143,False
STL,Sem Robberse,sem robberse,,58.33333333333333,53.84615384615385,False
TBR,Ben Peoples,ben peoples,,63.1578947368421,58.33333333333333,False
LAD,Nick Frasso,nick frasso,,66.66666666666667,56.00000000000001,False
BOS,Luis Perales,luis perales,luis perales,100.0,76.19047619047619,True
HOU,Alex Santos II,alex santos,,66.66666666666667,63.63636363636363,False
ATH,Stevie Emanuels,stevie emanuels,,62.06896551724138,61.53846153846154,False
PIT,Po-Yu Chen,po yu chen,,63.63636363636363,57.14285714285714,False
SFG,Braxton Roxby,braxton roxby,,66.66666666666667,59.25925925925925,False
NYY,Carson Coleman,carson coleman,,73.33333333333334,69.23076923076923,False
TBR,Evan Reifert,evan reifert,,60.86956521739131,56.00000000000001,False
BAL,Kyle Brnovich,kyle brnovich,,56.00000000000001,56.00000000000001,False
LAA,Jack Dashwood,jack dashwood,,54.54545454545454,52.17391304347826,False
STL,Jose Davila,jose davila,,66.66666666666667,63.63636363636363,False
MIN,Alejandro Hidalgo,alejandro hidalgo,,70.58823529411764,66.66666666666667,False
DET,Wilmer Flores,wilmer flores,,64.0,61.53846153846154,False
PIT,Brandan Bidois,brandan bidois,,73.33333333333334,61.53846153846154,False
TEX,Josh Stephan,josh stephan,,66.66666666666667,64.0,False
CIN,Jose Acuna,jose acuna,,66.66666666666667,60.86956521739131,False
TEX,Aidan Curry,aidan curry,,69.56521739130434,60.86956521739131,False
MIL,Yerlin Rodriguez,yerlin rodriguez,,78.78787878787878,75.0,False
TEX,Adrian Rodriguez,adrian rodriguez,,83.87096774193549,80.0,False
TEX,Adrian Rodriguez,adrian rodriguez,,83.87096774193549,80.0,False
TEX,Adrian Rodriguez,adrian rodriguez,,83.87096774193549,80.0,False
PHI,Eiberson Castellano,eiberson castellano,,64.70588235294117,60.60606060606061,False
LAD,Jose Rodriguez,jose rodriguez,,89.65517241379311,82.75862068965517,False
LAD,Jose Rodriguez,jose rodriguez,,89.65517241379311,82.75862068965517,False
LAD,Jose Rodriguez,jose rodriguez,,89.65517241379311,82.75862068965517,False
LAD,Jose Rodriguez,jose rodriguez,,89.65517241379311,82.75862068965517,False
TBR,Yoniel Curet,yoniel curet,yoniel curet,100.0,58.33333333333333,True
BAL,Juan Nunez,juan nunez,,72.72727272727273,72.0,False
BAL,Juan Nunez,juan nunez,,72.72727272727273,72.0,False
NYM,Joel Diaz,joel diaz,,70.0,60.0,False
BAL,Yaqui Rivera,yaqui rivera,,72.72727272727273,58.33333333333333,False
CLE,Yorman Gomez,yorman gomez,,60.86956521739131,59.25925925925925,False
TBR,Alexander Alberto,alex alberto,alex alberto,100.0,88.0,True
STL,Randel Clemente,randel clemente,,60.60606060606061,59.25925925925925,False
COL,Jordy Vargas,jordy vargas,,84.61538461538461,66.66666666666667,False
ARI,Ricardo Yan,ricardo yan,,88.0,66.66666666666667,False
NYM,Felipe De La Cruz,felipe de la cruz,,66.66666666666667,64.70588235294117,False
PHI,Jaydenn  Estanista,jaydenn estanista,,60.0,55.172413793103445,False
BOS,Jedixson Paez,jedixson paez,jedixson paez,100.0,54.54545454545454,True
LAA,Keythel Key,keythel key,,57.14285714285714,56.00000000000001,False
LAA,Yendy Gomez,yendy gomez,,72.72727272727273,56.00000000000001,False
CHW,Jarold Rosado,jarold rosado,,66.66666666666667,64.0,False
NYY,Luis Serna,luis serna,,84.21052631578947,72.72727272727273,False
SDP,Henry Baez,hank baez,hank baez,100.0,73.6842105263158,True
MIA,Jhoniel Serrano,jhoniel serrano,,76.92307692307692,66.66666666666667,False
TOR,Kendry Rojas,kendry rojas,kendry rojas,100.0,69.23076923076923,True
SDP,Andrew Moore,andy moore,,76.19047619047619,70.0,False
DET,Gabriel Reyes,gabriel reyes,,75.86206896551724,74.07407407407408,False
NYM,Luis Alvarez,luis alvarez,,76.19047619047619,76.19047619047619,False
TEX,Ismael Agreda,ismael agreda,,60.86956521739131,58.06451612903225,False
NYY,Michael Arias,mike arias,,69.56521739130434,66.66666666666667,False
TBR,Austin Vernon,austin vernon,,88.0,78.57142857142857,False
KCR,Tyson Guerrero,tyson guerrero,,71.42857142857143,60.0,False
PHI,Andrew Baker,andy baker,,72.72727272727273,72.72727272727273,False
NYM,Luis R. Rodriguez,luis r rodriguez,,80.0,77.41935483870968,False
TBR,Logan Workman,logan workman,,72.0,64.0,False
ATH,Ryan Cusick,ryan cusick,,66.66666666666667,66.66666666666667,False
CHW,Tanner McDougal,tanner mcdougal,tanner mcdougal,100.0,66.66666666666667,True
BAL,Alex Pham,alex pham,,57.14285714285714,57.14285714285714,False
CHC,Riley Martin,riley martin,,66.66666666666667,66.66666666666667,False
STL,Austin Love,austin love,,86.95652173913044,72.0,False
NYM,Raimon Gomez,raimon gomez,,72.0,72.0,False
TEX,Mitch Bratt,mitch bratt,mitch bratt,100.0,66.66666666666667,True
LAD,Ronan Kopp,ronan kopp,,60.0,54.54545454545454,False
DET,RJ Petit,rj petit,rj petit,100.0,50.0,True
CLE,Will Dion,will dion,,70.0,66.66666666666667,False
CHC,Zac Leigh,zac leigh,,66.66666666666667,58.82352941176471,False
CIN,Kevin Abel,kevin abel,,70.0,69.56521739130434,False
KCR,Eric Cerantola,eric cerantola,,64.28571428571428,59.25925925925925,False
DET,Tyler Mattison,tyler mattison,,69.23076923076923,64.28571428571428,False
CLE,Franco Aleman,franco aleman,,69.23076923076923,64.0,False
TEX,Robby Ahlstrom,robby ahlstrom,,58.33333333333333,50.0,False
TBR,Jack Hartman,jack hartman,,61.53846153846154,60.86956521739131,False
KCR,Shane Panzini,shane panzini,,64.0,57.14285714285714,False
LAD,Reynaldo Yean,reynaldo yean,,64.0,62.06896551724138,False
CLE,Kendeglys Virguez,kendeglys virguez,,60.0,57.14285714285714,False
KCR,Yunior Marte,yunior marte,yunior marte,100.0,63.63636363636363,True
KCR,Yunior Marte,yunior marte,yunior marte,100.0,63.63636363636363,True
DET,Joseph Montalvo,joe montalvo,,60.86956521739131,60.0,False
NYM,Jose Chirinos,jose chirinos,,69.23076923076923,66.66666666666667,False
ATH,Richard Fernandez,rick fernandez,,64.28571428571428,64.28571428571428,False
PHI,Juan Amarante,juan amarante,,66.66666666666667,66.66666666666667,False
CHW,Aldrin Batista,aldrin batista,aldrin batista,100.0,59.25925925925925,True
TEX,Enrique Segura,enrique segura,,62.06896551724138,60.86956521739131,False
NYY,Hansel Rosario,hansel rosario,,73.33333333333334,71.42857142857143,False
NYM,Wellington Aracena,wellington aracena,wellington aracena,100.0,70.58823529411764,True
STL,Leonel Sequera,leonel sequera,,59.25925925925925,57.14285714285714,False
LAD,Sean Paul Linan,sean paul linan,sean paul linan,100.0,64.0,True
HOU,Wilmy Sanchez,wilmy sanchez,,64.0,57.14285714285714,False
NYY,Elmer Rodriguez-Cruz,elmer rodriguez cruz,,85.71428571428572,72.22222222222221,False
NYY,Franyer Herrera,franyer herrera,,64.51612903225806,58.82352941176471,False
LAA,Carlos Espinosa,carlos espinosa,,68.96551724137932,68.75,False
KCR,Yeri Perez,yeri perez,,58.33333333333333,57.14285714285714,False
HOU,Juan Bello,juan bello,,70.0,66.66666666666667,False
CLE,Jogly Garcia,jogly garcia,,68.96551724137932,64.28571428571428,False
STL,Yordy Herrera,yordy herrera,,68.96551724137932,62.06896551724138,False
