year,fg_name,fg_name_norm,match_method,match_score,ibw_rank,ibw_name,ibw_name_norm,ibw_url
2025,Luis Alvarez,luis alvarez,none,0,,,,
2025,Ismael Agreda,ismael agreda,none,0,,,,
2025,Michael Arias,michael arias,none,0,,,,
2025,Austin Vernon,austin vernon,none,0,,,,
2025,Tyson Guerrero,tyson guerrero,none,0,,,,
2025,Andrew Baker,andrew baker,none,0,,,,
2025,Luis R. Rodriguez,luis r. rodriguez,none,0,,,,
2025,Logan Workman,logan workman,none,0,,,,
2025,Ryan Cusick,ryan cusick,none,0,,,,
2025,Tanner McDougal,tanner mcdougal,none,0,,,,
2025,Alex Pham,alex pham,none,0,,,,
2025,Riley Martin,riley martin,none,0,,,,
2025,Austin Love,austin love,none,0,,,,
2025,Tyler Uberstine,tyler uberstine,none,0,,,,
2025,Raimon Gomez,raimon gomez,none,0,,,,
2025,Mitch Bratt,mitch bratt,none,0,,,,
2025,Ronan Kopp,ronan kopp,none,0,,,,
2025,Michael Morales,michael morales,none,0,,,,
2025,RJ Petit,rj petit,none,0,,,,
2025,Will Dion,will dion,none,0,,,,
2025,Zac Leigh,zac leigh,none,0,,,,
2025,Kevin Abel,kevin abel,none,0,,,,
2025,Andrew Painter,andrew painter,none,0,,,,
2025,Eric Cerantola,eric cerantola,none,0,,,,
2025,Peter Heubeck,peter heubeck,none,0,,,,
2025,Brock Selvidge,brock selvidge,none,0,,,,
2025,Tyler Mattison,tyler mattison,none,0,,,,
2025,Franco Aleman,franco aleman,none,0,,,,
2025,Robby Ahlstrom,robby ahlstrom,none,0,,,,
2025,Frank Mozzicato,frank mozzicato,none,0,,,,
2025,Jack Hartman,jack hartman,none,0,,,,
2025,Ben Kudrna,ben kudrna,none,0,,,,
2025,Shane Panzini,shane panzini,none,0,,,,
2025,Anthony Solometo,anthony solometo,none,0,,,,
2025,Walbert Urena,walbert urena,none,0,,,,
2025,Reynaldo Yean,reynaldo yean,none,0,,,,
2025,Kendeglys Virguez,kendeglys virguez,none,0,,,,
2025,Yunior Marte,yunior marte,none,0,,,,
2025,Yunior Marte,yunior marte,none,0,,,,
2025,Joseph Montalvo,joseph montalvo,none,0,,,,
2025,Jarlin Susana,jarlin susana,none,0,,,,
2025,Fernando Perez,fernando perez,none,0,,,,
2025,Jose Chirinos,jose chirinos,none,0,,,,
2025,Christian Zazueta,christian zazueta,none,0,,,,
2025,Richard Fernandez,richard fernandez,none,0,,,,
2025,Juan Amarante,juan amarante,none,0,,,,
2025,Aldrin Batista,aldrin batista,none,0,,,,
2025,Enrique Segura,enrique segura,none,0,,,,
2025,Hansel Rosario,hansel rosario,none,0,,,,
2025,Jose Fleury,jose fleury,none,0,,,,
2025,Wellington Aracena,wellington aracena,none,0,,,,
2025,Leonel Sequera,leonel sequera,none,0,,,,
2025,Sean Paul Linan,sean paul linan,none,0,,,,
2025,Yu-Min Lin,yu-min lin,none,0,,,,
2025,Luis De Leon,luis de leon,none,0,,,,
2025,Luis De Leon,luis de leon,none,0,,,,
2025,Luis De Leon,luis de leon,none,0,,,,
2025,Jhancarlos  Lara,jhancarlos lara,none,0,,,,
2025,Francis Pena,francis pena,none,0,,,,
2025,Santiago Suarez,santiago suarez,none,0,,,,
2025,Carlos Lagrange,carlos lagrange,none,0,,,,
2025,Wilmy Sanchez,wilmy sanchez,none,0,,,,
2025,Elmer Rodriguez-Cruz,elmer rodriguez-cruz,none,0,,,,
2025,Franyer Herrera,franyer herrera,none,0,,,,
2025,Carlos Espinosa,carlos espinosa,none,0,,,,
2025,Yeri Perez,yeri perez,none,0,,,,
2025,Liomar Martinez,liomar martinez,none,0,,,,
2025,Juan Bello,juan bello,none,0,,,,
2025,Jogly Garcia,jogly garcia,none,0,,,,
2025,Yordy Herrera,yordy herrera,none,0,,,,
2025,Ovis Portes,ovis portes,none,0,,,,
2025,Joel Hurtado,joel hurtado,none,0,,,,
2025,Anders Tolhurst,anders tolhurst,none,0,,,,
2025,Dale Stanavich,dale stanavich,none,0,,,,
2025,Josh White,josh white,none,0,,,,
2025,Jacob Miller,jacob miller,none,0,,,,
2025,Jacob Miller,jacob miller,none,0,,,,
2025,Liam Simon,liam simon,none,0,,,,
2025,Tyler Stuart,tyler stuart,none,0,,,,
2025,Marquis Grissom Jr.,marquis grissom jr.,none,0,,,,
2025,Cy Nielson,cy nielson,none,0,,,,
2025,Marcus Johnson,marcus johnson,none,0,,,,
2025,Wilian Bormie,wilian bormie,none,0,,,,
2025,Owen Murphy,owen murphy,none,0,,,,
2025,Braden Nett,braden nett,none,0,,,,
2025,Blake Burkhalter,blake burkhalter,none,0,,,,
2025,Mason Adams,mason adams,none,0,,,,
2025,Dylan Ray,dylan ray,none,0,,,,
2025,JR Ritchie,jr ritchie,none,0,,,,
2025,Chris Campos,chris campos,none,0,,,,
2025,Spencer Giesting,spencer giesting,none,0,,,,
2025,Jack Choate,jack choate,none,0,,,,
2025,Jake Miller,jake miller,none,0,,,,
2025,Jake Miller,jake miller,none,0,,,,
2025,David Davalillo,david davalillo,none,0,,,,
2025,Dalton Rogers,dalton rogers,none,0,,,,
2025,Michael Prosecky,michael prosecky,none,0,,,,
2025,William Kempner,william kempner,none,0,,,,
2025,Cameron Weston,cameron weston,none,0,,,,
2025,Trace Bright,trace bright,none,0,,,,
2025,C.J. Culpepper,c.j. culpepper,none,0,,,,
2025,Andrew Morris,andrew morris,none,0,,,,
2025,Eric Adler,eric adler,none,0,,,,
2025,David Sandlin,david sandlin,none,0,,,,
2025,Trevor Martin,trevor martin,none,0,,,,
2025,Kenya Huggins,kenya huggins,none,0,,,,
2025,Eric Reyzelman,eric reyzelman,none,0,,,,
2025,Adam Serwinowski,adam serwinowski,none,0,,,,
2025,Alex McFarlane,alex mcfarlane,none,0,,,,
2025,Ryan Jennings,ryan jennings,none,0,,,,
2025,Karson Milbrandt,karson milbrandt,none,0,,,,
2025,Gabriel Hughes,gabriel hughes,none,0,,,,
2025,Dylan Lesko,dylan lesko,none,0,,,,
2025,Brandon Barriera,brandon barriera,none,0,,,,
2025,Lucas Wepf,lucas wepf,none,0,,,,
2025,Robby Snelling,robby snelling,none,0,,,,
2025,Brycen Mautz,brycen mautz,none,0,,,,
2025,Tyler Schweitzer,tyler schweitzer,none,0,,,,
2025,Cooper Hjerpe,cooper hjerpe,none,0,,,,
2025,Jake Bennett,jake bennett,none,0,,,,
2025,Marques Johnson,marques johnson,none,0,,,,
2025,Peyton Pallette,peyton pallette,none,0,,,,
2025,Max Rajcic,max rajcic,none,0,,,,
2025,Cole Paplham,cole paplham,none,0,,,,
2025,Brandon Birdsell,brandon birdsell,none,0,,,,
2025,Pete Hansen,pete hansen,none,0,,,,
2025,Connor Prielipp,connor prielipp,none,0,,,,
2025,Riley Cornelio,riley cornelio,none,0,,,,
2025,Connor Noland,connor noland,none,0,,,,
2025,Alex Hoppe,alex hoppe,none,0,,,,
2025,Dominic Perachi,dominic perachi,none,0,,,,
2025,Jared Karros,jared karros,none,0,,,,
2025,Samy Natera Jr.,samy natera jr.,none,0,,,,
2025,Isaiah Lowe,isaiah lowe,none,0,,,,
2025,Austin Peterson,austin peterson,none,0,,,,
2025,Payton Martin,payton martin,none,0,,,,
2025,Michael Knorr,michael knorr,none,0,,,,
2025,Andrew Taylor,andrew taylor,none,0,,,,
2025,Steven Zobac,steven zobac,none,0,,,,
2025,Jagger Haynes,jagger haynes,none,0,,,,
2025,Marcelo Perez,marcelo perez,none,0,,,,
2025,Jackson Ferris,jackson ferris,none,0,,,,
2025,Henry Williams,henry williams,none,0,,,,
2025,Darren Bowen,darren bowen,none,0,,,,
2025,Noah Schultz,noah schultz,none,0,,,,
2025,Luis Gastelum,luis gastelum,none,0,,,,
2025,Gary Gill Hill,gary gill hill,fuzzy,90,185,Gary Gill Hill &#8211; TBR,gary gill hill tbr,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Yereny Teus,yereny teus,none,0,,,,
2025,Luis Carias,luis carias,none,0,,,,
2025,Samuel Sanchez,samuel sanchez,none,0,,,,
2025,Francis Texido,francis texido,none,0,,,,
2025,Sandy Ozuna,sandy ozuna,none,0,,,,
2025,Yeferson Vargas,yeferson vargas,none,0,,,,
2025,Yunior Tur,yunior tur,none,0,,,,
2025,Janero Miller,janero miller,none,0,,,,
2025,Jackson Lancaster,jackson lancaster,none,0,,,,
2025,Mavis Graves,mavis graves,none,0,,,,
2025,Adrian  Bohorquez,adrian bohorquez,none,0,,,,
2025,Yordin Chalas,yordin chalas,none,0,,,,
2025,Luis Arestigueta,luis arestigueta,none,0,,,,
2025,Jose Bello,jose bello,none,0,,,,
2025,Kelvis Salcedo,kelvis salcedo,none,0,,,,
2025,Marlon Nieves,marlon nieves,none,0,,,,
2025,Juan Valera,juan valera,none,0,,,,
2025,Kohl Drake,kohl drake,none,0,,,,
2025,Michael Kennedy,michael kennedy,none,0,,,,
2025,Jackson  Humphries,jackson humphries,none,0,,,,
2025,Jeter Martinez,jeter martinez,none,0,,,,
2025,David Matoma,david matoma,none,0,,,,
2025,Keyner Benitez,keyner benitez,none,0,,,,
2025,Jacob Wosinski,jacob wosinski,none,0,,,,
2025,Ubaldo Soto,ubaldo soto,none,0,,,,
2025,Jose Vasquez,jose vasquez,none,0,,,,
2025,Brayan Narvaez,brayan narvaez,none,0,,,,
2025,Yohanfer Santana,yohanfer santana,none,0,,,,
2025,Michael Valverde,michael valverde,none,0,,,,
2025,Kyle Bischoff,kyle bischoff,none,0,,,,
2025,Jose Urbina,jose urbina,none,0,,,,
2025,Jose Urbina,jose urbina,none,0,,,,
2025,Ashton Izzi,ashton izzi,none,0,,,,
2025,Tanner Kohlhepp,tanner kohlhepp,none,0,,,,
2025,Keeler Morfe,keeler morfe,none,0,,,,
2025,Kolton Curtis,kolton curtis,none,0,,,,
2025,Trent Harris,trent harris,none,0,,,,
2025,Paul Bonzagni,paul bonzagni,none,0,,,,
2025,Camden Minacci,camden minacci,none,0,,,,
2025,Hayden Durke,hayden durke,none,0,,,,
2025,Roman Angelo,roman angelo,none,0,,,,
2025,Skylar Hales,skylar hales,none,0,,,,
2025,Ryan Lobus,ryan lobus,none,0,,,,
2025,Carlson Reed,carlson reed,none,0,,,,
2025,Colby Langford,colby langford,none,0,,,,
2025,Sheng-En  Lin,sheng-en lin,none,0,,,,
2025,Carson Jacobs,carson jacobs,none,0,,,,
2025,Chen-Wei Lin,chen-wei lin,none,0,,,,
2025,Jacob Odle,jacob odle,none,0,,,,
2025,Kyle Amendt,kyle amendt,none,0,,,,
2025,Matt Jachec,matt jachec,none,0,,,,
2025,K.C. Hunt,k.c. hunt,none,0,,,,
2025,Bo Bonds,bo bonds,none,0,,,,
2025,Will Johnston,will johnston,none,0,,,,
2025,Noble Meyer,noble meyer,none,0,,,,
2025,Seth Keener,seth keener,none,0,,,,
2025,Christian Oppor,christian oppor,none,0,,,,
2025,Ixan Henderson,ixan henderson,none,0,,,,
2025,Lucas Braun,lucas braun,none,0,,,,
2025,Ethan Pecko,ethan pecko,none,0,,,,
2025,Patrick Reilly,patrick reilly,none,0,,,,
2025,T.J. Nichols,t.j. nichols,none,0,,,,
2025,Jaden Woods,jaden woods,none,0,,,,
2025,Jacob Bresnahan,jacob bresnahan,none,0,,,,
2025,Barrett Kent,barrett kent,none,0,,,,
2025,Tate Kuehner,tate kuehner,none,0,,,,
2025,Junior Ciprian,junior ciprian,none,0,,,,
2025,Ty Weatherly,ty weatherly,none,0,,,,
2025,Joe Whitman,joe whitman,none,0,,,,
2025,Jaden Hamm,jaden hamm,none,0,,,,
2025,Kiefer Lord,kiefer lord,none,0,,,,
2025,Isaiah Coupet,isaiah coupet,none,0,,,,
2025,Jack Mahoney,jack mahoney,none,0,,,,
2025,Jack Mahoney,jack mahoney,none,0,,,,
2025,Josh Hansell,josh hansell,none,0,,,,
2025,James Hicks,james hicks,none,0,,,,
2025,Sean Sullivan,sean sullivan,none,0,,,,
2025,Sean Sullivan,sean sullivan,none,0,,,,
2025,Matt Wilkinson,matt wilkinson,none,0,,,,
2025,Cody Adcock,cody adcock,none,0,,,,
2025,Cale Lansville,cale lansville,none,0,,,,
2025,Nigel Belgrave,nigel belgrave,none,0,,,,
2025,Josh Ekness,josh ekness,none,0,,,,
2025,Kade Morris,kade morris,none,0,,,,
2025,Hayden Mullins,hayden mullins,none,0,,,,
2025,Blake Wehunt,blake wehunt,none,0,,,,
2025,Trey Gibson,trey gibson,none,0,,,,
2025,Thomas White,thomas white,none,0,,,,
2025,Owen Wild,owen wild,none,0,,,,
2025,Jack Wenninger,jack wenninger,none,0,,,,
2025,Patrick Copen,patrick copen,none,0,,,,
2025,Braxton Bragg,braxton bragg,none,0,,,,
2025,Drue Hackenberg,drue hackenberg,none,0,,,,
2025,Garrett Baumann,garrett baumann,none,0,,,,
2025,Landen Maroudis,landen maroudis,none,0,,,,
2025,Juaron Watts-Brown,juaron watts-brown,none,0,,,,
2025,Brett Wichrowski,brett wichrowski,none,0,,,,
2025,Quinn Mathews,quinn mathews,none,0,,,,
2025,Ty Johnson,ty johnson,none,0,,,,
2025,Jackson Nezuh,jackson nezuh,none,0,,,,
2025,Alex Clemmey,alex clemmey,none,0,,,,
2025,George Klassen,george klassen,none,0,,,,
2025,Levi Wells,levi wells,none,0,,,,
2025,Ryan Birchard,ryan birchard,none,0,,,,
2025,Charlee Soto,charlee soto,none,0,,,,
2025,Kai Peterson,kai peterson,none,0,,,,
2025,Sam Knowlton,sam knowlton,none,0,,,,
2025,Jackson Baumeister,jackson baumeister,none,0,,,,
2025,Khristian Curtis,khristian curtis,none,0,,,,
2025,Jojo Ingrassia,jojo ingrassia,none,0,,,,
2025,Michael Forret,michael forret,none,0,,,,
2025,Ben Shields,ben shields,none,0,,,,
2025,Nick Dean,nick dean,none,0,,,,
2025,Zach Fruit,zach fruit,none,0,,,,
2025,Will Sanders,will sanders,none,0,,,,
2025,Drew Dowd,drew dowd,none,0,,,,
2025,Blake Wolters,blake wolters,none,0,,,,
2025,Eriq Swan,eriq swan,none,0,,,,
2025,Brody Hopkins,brody hopkins,none,0,,,,
