Org,PlayerName,name_norm,pitcherlist_org_rank,pitcherlist_match_method,pitcherlist_match_score,pitcherlist_in_list
CLE,Steven Perez,steve perez,,none,50.0,False
CIN,Jose Franco,jose franco,,none,43.47826086956522,False
ATL,Royber Salinas,royber salinas,,none,48.0,False
STL,Hancel Rincon,hancel rincon,,none,46.666666666666664,False
ARI,Listher Sosa,listher sosa,,none,40.0,False
ARI,Edgar Isea,edgar isea,,none,56.0,False
NYY,Luis Velasquez,luis velasquez,,none,41.37931034482759,False
NYM,Anthony Nunez,tony nunez,,none,50.0,False
TOR,Adam Macko,adam macko,,none,44.44444444444444,False
DET,Yosber Sanchez,yosber sanchez,,none,50.0,False
SEA,Gabriel Sosa,gabriel sosa,,none,48.0,False
STL,Sem Robberse,sem robberse,,none,41.666666666666664,False
TEX,Gavin Collyer,gavin collyer,,none,0.0,False
TBR,Ben Peoples,ben peoples,,none,47.61904761904762,False
BOS,Shane Drohan,shane drohan,,none,52.17391304347826,False
LAD,Nick Frasso,nick frasso,,none,48.0,False
STL,Tekoah Roby,tekoah roby,,none,40.0,False
MIA,Dax Fulton,dax fulton,,none,47.61904761904762,False
MIN,Marco Raya,marco raya,,none,50.0,False
BOS,Luis Perales,luis perales,,none,50.0,False
HOU,Alex Santos II,alex santos,,none,43.47826086956522,False
ATH,Stevie Emanuels,stevie emanuels,,none,51.61290322580645,False
PIT,Po-Yu Chen,po yu chen,,none,36.36363636363637,False
STL,Tink Hence,tink hence,,none,58.333333333333336,False
SFG,Braxton Roxby,braxton roxby,,none,41.1764705882353,False
NYY,Carson Coleman,carson coleman,,none,55.172413793103445,False
TBR,Evan Reifert,evan reifert,,none,54.54545454545455,False
BAL,Kyle Brnovich,kyle brnovich,,none,40.0,False
LAA,Jack Dashwood,jack dashwood,,none,33.33333333333333,False
STL,Jose Davila,jose davila,,none,50.0,False
MIL,Coleman Crow,coleman crow,,none,41.666666666666664,False
MIN,Alejandro Hidalgo,alejandro hidalgo,,none,51.851851851851855,False
TEX,Emiliano Teodo,emiliano teodo,,none,0.0,False
SDP,Victor Lizarraga,victor lizarraga,,none,35.294117647058826,False
DET,Wilmer Flores,wilmer flores,,none,50.0,False
PIT,Brandan Bidois,brandan bidois,,none,44.44444444444444,False
TEX,Josh Stephan,josh stephan,,none,0.0,False
ATL,Elison Joseph,elison joseph,,none,47.61904761904762,False
CIN,Jose Acuna,jose acuna,,none,47.61904761904762,False
TEX,Aidan Curry,aidan curry,,none,0.0,False
PHI,Moises Chace,moises chace,6,fuzzy,100.0,True
MIL,Yerlin Rodriguez,yerlin rodriguez,,none,42.857142857142854,False
TEX,Adrian Rodriguez,adrian rodriguez,,none,0.0,False
TEX,Adrian Rodriguez,adrian rodriguez,,none,0.0,False
TEX,Adrian Rodriguez,adrian rodriguez,,none,0.0,False
PHI,Eiberson Castellano,eiberson castellano,,none,45.714285714285715,False
PHI,Jean Cabrera,jean cabrera,,none,53.84615384615385,False
LAD,Jose Rodriguez,jose rodriguez,,none,42.857142857142854,False
LAD,Jose Rodriguez,jose rodriguez,,none,42.857142857142854,False
LAD,Jose Rodriguez,jose rodriguez,,none,42.857142857142854,False
LAD,Jose Rodriguez,jose rodriguez,,none,42.857142857142854,False
TBR,Yoniel Curet,yoniel curet,,none,44.44444444444444,False
BAL,Juan Nunez,juan nunez,,none,43.47826086956522,False
BAL,Juan Nunez,juan nunez,,none,43.47826086956522,False
BOS,Yordanny Monegro,yordanny monegro,5,fuzzy,100.0,True
HOU,Alimber Santa,alimber santa,,none,48.0,False
NYM,Joel Diaz,joel diaz,,none,42.10526315789474,False
BAL,Yaqui Rivera,yaqui rivera,,none,48.0,False
SDP,Miguel Mendez,miguel mendez,3,fuzzy,100.0,True
CLE,Yorman Gomez,yorman gomez,,none,48.0,False
TEX,Winston Santos,winston santos,,none,0.0,False
TBR,Alexander Alberto,alex alberto,,none,44.44444444444444,False
STL,Randel Clemente,randel clemente,,none,48.275862068965516,False
SFG,Gerelmi Maldonado,gerelmi maldonado,,none,43.75,False
COL,Jordy Vargas,jordy vargas,,none,44.44444444444444,False
ARI,Ricardo Yan,ricardo yan,,none,46.15384615384615,False
COL,Welinton Herrera,welinton herrera,,none,50.0,False
NYM,Felipe De La Cruz,felipe de la cruz,,none,44.44444444444444,False
NYY,Henry Lalane,hank lalane,19,fuzzy,100.0,True
PHI,Jaydenn  Estanista,jaydenn estanista,,none,37.03703703703704,False
BOS,Jedixson Paez,jedixson paez,,none,41.666666666666664,False
MIN,Jose Olivares,jose olivares,,none,46.15384615384615,False
LAA,Keythel Key,keythel key,,none,43.47826086956522,False
LAA,Yendy Gomez,yendy gomez,,none,48.0,False
CHW,Jarold Rosado,jarold rosado,,none,44.44444444444444,False
HOU,Miguel Ullola,miguel ullola,5,fuzzy,100.0,True
KCR,Felix Arronde,felix arronde,,none,51.851851851851855,False
NYY,Luis Serna,luis serna,,none,43.47826086956522,False
SDP,Henry Baez,hank baez,,none,50.0,False
MIA,Jhoniel Serrano,jhoniel serrano,,none,45.16129032258065,False
TOR,Kendry Rojas,kendry rojas,,none,38.095238095238095,False
SDP,Andrew Moore,andy moore,,none,50.0,False
NYM,Douglas Orellana,douglas orellana,,none,50.0,False
DET,Gabriel Reyes,gabriel reyes,,none,48.0,False
NYM,Luis Alvarez,luis alvarez,,none,40.0,False
TEX,Ismael Agreda,ismael agreda,,none,0.0,False
NYY,Michael Arias,mike arias,,none,50.0,False
TBR,Austin Vernon,austin vernon,,none,44.44444444444444,False
KCR,Tyson Guerrero,tyson guerrero,,none,44.44444444444444,False
PHI,Andrew Baker,andy baker,,none,72.72727272727272,False
NYM,Luis R. Rodriguez,luis r rodriguez,,none,44.44444444444444,False
TBR,Logan Workman,logan workman,,none,52.17391304347826,False
ATH,Ryan Cusick,ryan cusick,,none,41.666666666666664,False
CHW,Tanner McDougal,tanner mcdougal,6,fuzzy,100.0,True
BAL,Alex Pham,alex pham,,none,50.0,False
CHC,Riley Martin,riley martin,,none,52.17391304347826,False
STL,Austin Love,austin love,,none,42.857142857142854,False
BOS,Tyler Uberstine,tyler uberstine,,none,53.333333333333336,False
NYM,Raimon Gomez,raimon gomez,,none,50.0,False
TEX,Mitch Bratt,mitch bratt,,none,0.0,False
LAD,Ronan Kopp,ronan kopp,,none,47.61904761904762,False
SEA,Michael Morales,mike morales,13,fuzzy,100.0,True
DET,RJ Petit,rj petit,,none,31.578947368421055,False
CLE,Will Dion,will dion,,none,38.095238095238095,False
CHC,Zac Leigh,zac leigh,,none,40.0,False
CIN,Kevin Abel,kevin abel,,none,45.45454545454545,False
PHI,Andrew Painter,andy painter,1,fuzzy,100.0,True
KCR,Eric Cerantola,eric cerantola,,none,46.15384615384615,False
LAD,Peter Heubeck,peter heubeck,,none,52.17391304347826,False
NYY,Brock Selvidge,brock selvidge,10,fuzzy,100.0,True
DET,Tyler Mattison,tyler mattison,,none,41.666666666666664,False
CLE,Franco Aleman,franco aleman,,none,50.0,False
TEX,Robby Ahlstrom,robby ahlstrom,,none,0.0,False
KCR,Frank Mozzicato,frank mozzicato,15,fuzzy,100.0,True
TBR,Jack Hartman,jack hartman,,none,37.03703703703704,False
KCR,Ben Kudrna,ben kudrna,5,fuzzy,90.0,True
KCR,Shane Panzini,shane panzini,,none,40.0,False
PIT,Anthony Solometo,tony solometo,,none,47.05882352941177,False
LAA,Walbert Urena,walbert urena,,none,53.84615384615385,False
LAD,Reynaldo Yean,reynaldo yean,,none,52.17391304347826,False
CLE,Kendeglys Virguez,kendeglys virguez,,none,42.857142857142854,False
KCR,Yunior Marte,yunior marte,,none,48.0,False
KCR,Yunior Marte,yunior marte,,none,48.0,False
DET,Joseph Montalvo,joe montalvo,,none,44.44444444444444,False
WSN,Jarlin Susana,jarlin susana,3,fuzzy,100.0,True
TOR,Fernando Perez,fernando perez,,none,43.75,False
NYM,Jose Chirinos,jose chirinos,,none,66.66666666666666,False
LAD,Christian Zazueta,christian zazueta,,none,45.16129032258065,False
ATH,Richard Fernandez,rick fernandez,,none,43.47826086956522,False
PHI,Juan Amarante,juan amarante,,none,53.84615384615385,False
CHW,Aldrin Batista,aldrin batista,15,fuzzy,100.0,True
TEX,Enrique Segura,enrique segura,,none,0.0,False
NYY,Hansel Rosario,hansel rosario,,none,51.851851851851855,False
HOU,Jose Fleury,jose fleury,,none,36.36363636363637,False
NYM,Wellington Aracena,wellington aracena,,none,50.0,False
STL,Leonel Sequera,leonel sequera,17,fuzzy,100.0,True
LAD,Sean Paul Linan,sean paul linan,,none,46.666666666666664,False
ARI,Yu-Min Lin,yu min lin,,none,43.47826086956522,False
BAL,Luis De Leon,luis de leon,10,fuzzy,100.0,True
BAL,Luis De Leon,luis de leon,10,fuzzy,100.0,True
BAL,Luis De Leon,luis de leon,10,fuzzy,100.0,True
ATL,Jhancarlos  Lara,jhancarlos lara,,none,46.15384615384615,False
SDP,Francis Pena,francis pena,15,fuzzy,100.0,True
TBR,Santiago Suarez,santiago suarez,7,fuzzy,100.0,True
NYY,Carlos Lagrange,carlos lagrange,3,fuzzy,100.0,True
HOU,Wilmy Sanchez,wilmy sanchez,,none,48.0,False
NYY,Elmer Rodriguez-Cruz,elmer rodriguez cruz,4,fuzzy,100.0,True
NYY,Franyer Herrera,franyer herrera,,none,42.857142857142854,False
LAA,Carlos Espinosa,carlos espinosa,,none,51.851851851851855,False
KCR,Yeri Perez,yeri perez,,none,43.47826086956522,False
MIA,Liomar Martinez,liomar martinez,12,fuzzy,100.0,True
HOU,Juan Bello,juan bello,,none,45.45454545454545,False
CLE,Jogly Garcia,jogly garcia,,none,57.142857142857146,False
STL,Yordy Herrera,yordy herrera,,none,50.0,False
CIN,Ovis Portes,ovis portes,,none,45.45454545454545,False
LAA,Joel Hurtado,joel hurtado,,none,44.44444444444444,False
TOR,Anders Tolhurst,anders tolhurst,,none,41.37931034482759,False
MIA,Dale Stanavich,dale stanavich,,none,44.44444444444444,False
MIA,Josh White,josh white,,none,73.6842105263158,False
MIA,Jacob Miller,jake miller,,none,44.44444444444444,False
MIA,Jacob Miller,jake miller,,none,44.44444444444444,False
SFG,Liam Simon,liam simon,,none,38.46153846153846,False
WSN,Tyler Stuart,tyler stuart,,none,43.47826086956522,False
WSN,Marquis Grissom Jr.,marquis grissom,,none,42.857142857142854,False
PIT,Cy Nielson,cy nielson,,none,37.03703703703704,False
TBR,Marcus Johnson,marcus johnson,,none,42.857142857142854,False
TEX,Wilian Bormie,wilian bormie,,none,0.0,False
ATL,Owen Murphy,owen murphy,1,fuzzy,100.0,True
SDP,Braden Nett,braden nett,,none,48.275862068965516,False
ATL,Blake Burkhalter,blake burkhalter,,none,37.03703703703704,False
CHW,Mason Adams,mason adams,14,fuzzy,100.0,True
ARI,Dylan Ray,dylan ray,,none,55.55555555555556,False
ATL,JR Ritchie,jr ritchie,3,fuzzy,100.0,True
LAD,Chris Campos,chris campos,,none,50.0,False
ARI,Spencer Giesting,spencer giesting,,none,41.37931034482759,False
SFG,Jack Choate,jack choate,,none,52.17391304347826,False
DET,Jake Miller,jake miller,13,fuzzy,100.0,True
DET,Jake Miller,jake miller,13,fuzzy,100.0,True
TEX,David Davalillo,dave davalillo,,none,0.0,False
BOS,Dalton Rogers,dalton rogers,,none,56.0,False
COL,Michael Prosecky,mike prosecky,,none,41.666666666666664,False
MIA,William Kempner,will kempner,,none,43.47826086956522,False
BAL,Cameron Weston,cameron weston,,none,59.25925925925926,False
BAL,Trace Bright,trace bright,,none,43.47826086956522,False
MIN,C.J. Culpepper,c j culpepper,,none,81.81818181818181,False
MIN,Andrew Morris,andy morris,13,fuzzy,100.0,True
CHW,Eric Adler,eric adler,,none,47.61904761904762,False
BOS,David Sandlin,dave sandlin,10,fuzzy,100.0,True
TBR,Trevor Martin,trevor martin,,none,60.869565217391305,False
CIN,Kenya Huggins,kenya huggins,,none,38.46153846153846,False
NYY,Eric Reyzelman ,eric reyzelman,,none,45.16129032258065,False
CIN,Adam Serwinowski,adam serwinowski,,none,42.857142857142854,False
PHI,Alex McFarlane,alex mcfarlane,15,fuzzy,100.0,True
