Org,PlayerName,p1500_org_rank,p1500_match_method,p1500_match_score,p1500_in_list,p1500_org_slug,p1500_source_url,p1500_scraped_date
SDP,Bryan Balzer,14,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,2026-02-05
TEX,Caden Scarborough,2,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/texas-rangers-top-50-prospects-2026/,2026-02-05
SDP,Humberto Cruz,5,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,2026-02-05
SEA,Teddy McGraw,,none,0.0,False,,,
SEA,Hunter Cranton,30,global_fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/arizona-diamondbacks-top-50-prospects-2026/,2026-02-05
LAA,Fulton Lockhart,,none,44.44444444444444,False,,,
LAA,Najer Victor,,none,48.0,False,,,
CLE,Caden Favors,,none,0.0,False,,,
MIN,Omar Montano,,none,0.0,False,,,
CIN,Luke Hayden,41,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/cincinnati-reds-top-50-prospects-2026/,2026-02-05
CHW,Pierce George,,none,0.0,False,,,
CHW,Hagen Smith,,none,0.0,False,,,
HOU,Bryce Mayer,8,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/houston-astros-top-50-prospects-2026/,2026-02-05
SDP,Josh Mallitz,32,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,2026-02-05
SDP,Tyson Neighbors,,none,50.0,False,,,
ATL,Logan Samuels,45,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/atlanta-braves-top-50-prospects-2026/,2026-02-05
MIL,Tyson Hardin,,none,0.0,False,,,
DET,Josh Randall,35,global_fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/washington-nationals-top-50-prospects-2026/,2026-02-05
ATL,Herick Hernandez,23,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/atlanta-braves-top-50-prospects-2026/,2026-02-05
NYM,Will Watson,,none,0.0,False,,,
ATL,Cam Caminiti,1,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/atlanta-braves-top-50-prospects-2026/,2026-02-05
NYM,Ryan Lambert,,none,0.0,False,,,
LAD,Aidan Foeller,,none,0.0,False,,,
HOU,Twine Palmer,,none,56.00000000000001,False,,,
CLE,Josh Hartle,,none,0.0,False,,,
NYM,Frank Elissalt,,none,0.0,False,,,
HOU,Cole Hertzler,31,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/houston-astros-top-50-prospects-2026/,2026-02-05
SEA,Brock Moore,,none,0.0,False,,,
NYM,Dylan Ross,,none,0.0,False,,,
ATL,Ethan Bagwell,25,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/atlanta-braves-top-50-prospects-2026/,2026-02-05
BOS,Blake Aita,,none,0.0,False,,,
BAL,Chase Allsup,,none,0.0,False,,,
LAD,Brooks Auger,,none,0.0,False,,,
KCR,Drew Beam,12,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/kansas-city-royals-top-50-prospects-2026/,2026-02-05
COL,Brody Brecht,4,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/colorado-rockies-top-50-prospects-2026/,2026-02-05
KCR,A.J. Causey,45,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/kansas-city-royals-top-50-prospects-2026/,2026-02-05
SEA,Jurrangelo Cijntje,,none,0.0,False,,,
KCR,Dennis Colleran,40,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/kansas-city-royals-top-50-prospects-2026/,2026-02-05
